id,field,title,ajg_2024
1,ACCOUNT,Accounting Review,4*
2,ACCOUNT,"Accounting, Organizations and Society",4*
3,ACCOUNT,Journal of Accounting and Economics,4*
4,ACCOUNT,Journal of Accounting Research,4*
119,ECON,American Economic Review,4*
120,ECON,Annals of Statistics,4*
121,ECON,Econometrica,4*
122,ECON,Journal of Political Economy,4*
123,ECON,Quarterly Journal of Economics,4*
124,ECON,Review of Economic Studies,4*
474,ENT-SBM,Entrepreneurship Theory and Practice,4*
475,ENT-SBM,Journal of Business Venturing,4*
510,ETHICS-CSR-MAN,Academy of Management Annals,4*
511,ETHICS-CSR-MAN,Academy of Management Journal,4*
512,ETHICS-CSR-MAN,Academy of Management Review,4*
513,ETHICS-CSR-MAN,Administrative Science Quarterly,4*
514,ETHICS-CSR-MAN,Journal of Management,4*
621,FINANCE,Journal of Finance,4*
622,FINANCE,Journal of Financial Economics,4*
623,FINANCE,Review of Financial Studies,4*
747,HRM&EMP,Human Resource Management Journal (UK),4*
805,IB&AREA,Journal of International Business Studies,4*
861,INFO MAN,Information Systems Research,4*
862,INFO MAN,Journal of the Association for Information Systems,4*
863,INFO MAN,MIS Quarterly: Management Information Systems,4*
964,INNOV,Research Policy,4*
1007,MDEV&EDU,Academy of Management Learning and Education,4*
1064,MKT,Journal of Consumer Psychology,4*
1065,MKT,Journal of Consumer Research,4*
1066,MKT,Journal of Marketing,4*
1067,MKT,Journal of Marketing Research,4*
1068,MKT,Journal of the Academy of Marketing Science,4*
1069,MKT,Marketing Science,4*
1142,OPS&TECH,Journal of Operations Management,4*
1216,OR&MANSCI,Management Science,4*
1217,OR&MANSCI,Operations Research,4*
1293,ORG STUD,Organization Science,4*
1331,PSYCH (GENERAL),Psychological Science,4*
1403,PSYCH (WOP-OB),Journal of Applied Psychology,4*
1404,PSYCH (WOP-OB),Personnel Psychology,4*
1470,PUB SEC,Public Administration Review,4*
1681,SOC SCI,American Journal of Political Science,4*
1682,SOC SCI,American Journal of Sociology,4*
1683,SOC SCI,American Political Science Review,4*
1684,SOC SCI,American Sociological Review,4*
1685,SOC SCI,Annual Review of Sociology,4*
1796,STRAT,Strategic Management Journal,4*
5,ACCOUNT,Contemporary Accounting Research,4
6,ACCOUNT,Review of Accounting Studies,4
90,BUS HIST & ECON HIST,Business History,4
91,BUS HIST & ECON HIST,Business History Review,4
92,BUS HIST & ECON HIST,Economic History Review,4
125,ECON,American Economic Journal: Applied Economics,4
126,ECON,American Economic Journal: Macroeconomics,4
127,ECON,Biometrika,4
128,ECON,Econometric Theory,4
129,ECON,Economic Journal,4
130,ECON,International Economic Review,4
131,ECON,Journal of Business and Economic Statistics,4
132,ECON,Journal of Econometrics,4
133,ECON,Journal of Economic Literature,4
134,ECON,Journal of Economic Perspectives,4
135,ECON,Journal of Economic Theory,4
136,ECON,Journal of International Economics,4
137,ECON,Journal of Labor Economics,4
138,ECON,Journal of Monetary Economics,4
139,ECON,Journal of the American Statistical Association,4
140,ECON,Journal of the European Economic Association,4
141,ECON,Journal of the Royal Statistical Society. Series B: Statistical Methodology,4
142,ECON,Quantitative Economics,4
143,ECON,RAND Journal of Economics,4
144,ECON,Review of Economics and Statistics,4
145,ECON,Theoretical Economics,4
476,ENT-SBM,Strategic Entrepreneurship Journal,4
